Ticker	DIV	MO	VALUE	SIZE	PFT	GROWTH	MCAP	SECTOR	FRET
ALE	0.53717435	0.233666439	-0.209038763	-1.912732158	-0.662759698	-0.275265444	4500.2309	Utilities	0.004609888
ALEX	0.807164997	0.172248897	-0.887668838	-2.538842293	-1.200361943	0.540337387	1762.6988	Real Estate	0.001245847
ALGN	-1.207609482	-2.734381004	-0.841430699	-1.775043442	0.451413239	1.282400238	14503.753	Health Care Equipment & Servic	0.030849256
ALK	0.218282666	-0.566137429	1.327713582	-1.228590528	-0.772927168	0.119907836	7829.0206	Transportation	0.018495684
ALL	-0.014838152	-0.081060784	0.98384241	-0.038136164	-0.292760242	-0.761146739	35704.1415	Insurance	0.00737353
ALLE	-0.531468554	0.129440443	-0.361063647	-1.735729699	0.539809746	-0.207597085	9647.6438	Capital Goods	0.00754717
ALXN	-1.207609482	-1.326649745	-0.231181535	-1.107014146	0.231340942	1.069596918	21980.9606	Pharmaceuticals, Biotechnology	0.009150991
AMAT	-0.139742785	1.278938756	0.377181366	-0.574208528	0.636567732	0.32580291	47000.5921	Semiconductors & Semiconductor	0.014506959
AMCX	-1.207609482	-1.454773716	2.272533191	-1.856734706	0.614897512	0.01688232	2693.1564	Media & Entertainment	0.018947368
AMD	-1.207609482	0.202057269	-1.163911089	-1.16567526	-0.563319531	1.497746639	31491.7001	Semiconductors & Semiconductor	0.048273432
AME	-0.799842104	0.277133537	-0.418680055	-1.190120176	-0.282686532	-0.263851157	20283.9591	Capital Goods	0.006367254
AMG	-0.124865486	-2.318376311	1.480950828	-1.724651072	-0.4913437	-0.869841631	3872.4068	Diversified Financials	0.039830276
AMGN	0.710527233	-0.266482093	0.283288921	-0.011563449	1.136767361	-0.312822332	117295.5598	Pharmaceuticals, Biotechnology	0.010670425
AMP	0.63523516	-0.825573115	1.92462716	-0.406388574	-0.370066356	-0.498298215	17823.2349	Diversified Financials	0.031788672
AMT	-0.119690773	2.481845469	-1.31164886	-0.470987307	-0.018590795	0.339147401	100015.8419	Real Estate	-0.008087325
AMZN	-1.207609482	-0.492731447	-0.828772609	1.131891611	-0.703332092	1.831734363	860528.3486	Retailing	0.006778045
AN	-1.207609482	0.797279501	1.55468401	-1.158505237	-1.035277319	-0.581832167	4288.9626	Retailing	0.005388601
ANSS	-1.207609482	0.839555433	-1.310466712	-1.745667314	0.110641592	-0.130853514	18891.5557	Software & Services	0.015815471
ANTM	-0.351517912	-0.82047001	0.681112005	0.171097484	-0.902454653	0.039037332	61854.04	Health Care Equipment & Servic	0.001348902
AON	-0.614652064	0.855342486	-0.443015569	-0.595547467	-0.091068239	-0.527278847	45281.6421	Insurance	0.011699931
AOS	0.043118633	-0.693414822	0.234071598	-1.724644535	-0.023199522	-0.008920656	7481.9992	Capital Goods	0.035606388
APA	1.711316714	-2.875850812	1.925883776	-1.099159713	0.043867715	-1.194870006	8331.2509	Energy	0.04845815
APD	0.195643297	1.200819324	-0.413030287	-0.697809321	-0.161940919	-0.326652114	47129.5582	Materials	0.012204779
APH	-0.534832118	-0.427315911	-0.320295625	-0.964397948	-0.069494255	0.074488588	28596.6677	Technology Hardware & Equipmen	0.015391059
APTV	-0.525323583	0.229966961	0.568219011	-0.854031429	-0.130428564	-0.567730709	21374.1618	Automobiles & Components	0.03715282
APY	-1.207609482	-2.121920844	1.320048813	-2.182673947	-0.735873086	-1.017540866	1965.9308	Energy	0.051958763
ARE	0.463822794	0.771857314	-1.182229174	-1.404658592	0.025041005	0.39668262	17557.031	Real Estate	-0.001038085
ARNC	-0.996287143	0.545259199	0.532592483	-0.924206758	-0.901978655	-0.087557197	10780.2129	Capital Goods	0.016525749
ARW	-1.207609482	-0.347838783	1.766015642	-0.887161717	-1.032388443	-0.279887237	6179.8237	Technology Hardware & Equipmen	0.014488792
ASB	1.037698458	-1.643990015	0.506175334	-1.569408118	-1.080884432	-0.29286946	3176.8418	Banks	0.016427105
ASH	-0.265552993	-0.860237195	0.241480004	-1.609827714	-0.925871302	-1.256150426	4571.2576	Materials	0.020470557
ATGE	-1.207609482	-0.886847749	1.014896207	-2.299035816	-0.509827214	-1.138143801	2024.3674	Consumer Services	0.015810277
ATI	-1.207609482	-1.838021936	1.472139913	-1.780687768	-0.93855111	0.736618451	2563.1884	Materials	0.054401583
ATO	-0.007011399	0.368891575	-0.194820349	-1.301576949	-0.451974142	-0.398789215	13373.2259	Utilities	0.004600812
ATR	-0.413743835	0.251943232	-0.357308473	-1.738611048	-0.508624169	-0.247576116	7513.9585	Materials	0.000171954
ATVI	-0.775909056	-1.83683066	-0.591870255	-0.799388487	-0.239574273	-0.155902221	42523.9171	Media & Entertainment	0.02104675
AVB	0.588209956	0.631230773	-1.116391879	-1.1093091	0.072254038	0.23712364	30584.8705	Real Estate	-0.002743735
AVGO	1.228710049	0.518377676	-0.186856899	-0.02916664	0.113095666	1.424479328	111635.0527	Semiconductors & Semiconductor	0.023537985
AVNS	-1.207609482	-2.604839811	-1.514112804	-2.514130611	-1.554899079	0.789388196	1728.0717	Health Care Equipment & Servic	0.007902116
AVT	0.154310277	-0.257143181	1.578765962	-1.208073641	-1.093304	-0.558054972	4066.4858	Technology Hardware & Equipmen	0.012804419
AVY	0.139950449	-0.018880428	0.391781247	-1.38089201	-0.004875046	-0.357735855	9375.7228	Materials	0.018598383
AWK	-0.179070604	1.592599717	-0.668273892	-1.056550755	-0.212846793	-0.260218252	22722.494	Utilities	-0.01087565
AXP	-0.235151555	0.198391358	0.439916134	0.300777967	-0.312256753	-0.217491454	94922.9696	Diversified Financials	0.011997913
AYI	-0.929986134	-0.538113748	0.706880442	-1.79367911	-0.411962728	-0.036047056	4833.7731	Capital Goods	0.016579189
AZO	-1.207609482	1.926252303	0.501117462	-0.915962477	0.697157256	-0.323161625	26008.5207	Retailing	0.008113402
BA	0.20760982	-0.639269426	0.110832014	0.566397083	1.005127536	1.141673739	211410.1569	Capital Goods	0.010566038
BAC	0.434003511	-0.743056158	0.989155501	1.27622014	-0.205398947	-0.458413724	264076.494	Banks	0.016168717
BAX	-0.550614992	0.64106624	-0.44385543	-0.705359002	-0.300456814	-0.513337597	44234.5602	Health Care Equipment & Servic	0.004793973
BBBY	3.000075516	-1.613622856	3.007370938	-1.619942721	-0.951441568	-1.130976919	1277.051	Retailing	0.073645014
BBT	1.046172051	-0.378420916	0.521521824	-0.124122785	-0.974044017	0.310548795	39580.0318	Banks	0.013052796
BBY	0.726439475	-0.787663218	1.755447334	-0.610236917	-0.260152313	-0.54931902	17630.4151	Retailing	0.041960138
BC	-0.151515257	-1.38524523	1.259087424	-1.662853677	-0.366227001	0.08965881	4410.5172	Consumer Durables & Apparel	0.031274131
BCO	-0.729466008	0.365218577	0.489180951	-1.827019219	0.378949815	-0.113852332	4058.4588	Commercial & Professional Serv	0.023227533
BDC	-0.959223262	-1.673884377	1.161180647	-1.987662977	-0.64728556	-0.420561091	2367.6203	Technology Hardware & Equipmen	0.040968718
BDX	-0.420470962	-0.190246688	-0.377832253	-0.253045149	-0.356171104	0.608538161	68328.0928	Health Care Equipment & Servic	0.017381508
BEN	1.249344217	-0.94875633	1.707905708	-1.120185121	-0.002790484	-1.133873725	13790.3906	Diversified Financials	0.02977761
BF/B	-0.523771169	0.84643757	-1.030674356	-1.311704372	0.663749567	-0.433429822	29529.3803	Food, Beverage & Tobacco	0.005909599
BHF	-1.207609482	-1.3357383	-0.117757094	-0.715867377	-1.391153628	-0.639354202	4141.6742	Insurance	0.026028547
BHGE	0.865057098	-1.591877543	0.322060016	-0.426521163	-1.189411076	0.125528087	23066.9829	Energy	0.019724771
BIG	2.397613017	-2.535919941	2.936262895	-2.028427397	-0.734961523	-0.510144414	840.0069	Retailing	0.059160305
BIIB	-1.207609482	-1.975152304	1.645013669	-0.574729101	1.128339151	-0.048884953	41316.1768	Pharmaceuticals, Biotechnology	0.000941704
BIO	-1.207609482	0.238331075	-0.89465333	-1.567797037	-1.05976349	-0.008719739	10022.5601	Pharmaceuticals, Biotechnology	0.021431435
BK	0.673851455	-1.211129434	1.172279173	0.069009753	-0.386530107	-0.552847376	40185.6832	Diversified Financials	0.014252874
BKH	0.49616475	0.984382962	0.009293012	-1.787225874	-0.571305189	-0.188035001	4682.9393	Utilities	0.00825913
BKNG	-1.207609482	-0.194103595	-0.310545787	-0.415605368	0.701402213	0.524184491	84309.604	Retailing	0.007269819
BLK	0.789959077	-0.824222639	-0.026422839	-0.064699772	-0.361756277	-0.307481633	66484.2014	Diversified Financials	0.032399258
BLKB	-0.864331963	-0.485725921	-0.876750036	-2.274320411	-0.76993314	0.114856309	4447.2495	Software & Services	0.021383373
BLL	-0.673967211	2.976932241	-0.241271489	-0.815668979	-0.826000683	0.070042111	24146.6729	Materials	-0.003157606
BMY	0.882651122	-1.453125876	0.330306202	-0.235806018	0.736236841	0.950080722	83015.1514	Pharmaceuticals, Biotechnology	0.016345018
BOH	0.795198474	-0.236004956	-0.217367474	-1.865481095	-0.972075385	-0.64881311	3411.4041	Banks	0.007566659
BR	-0.07169531	-0.247199427	-0.433569255	-1.498664462	0.022278871	0.045390861	14077.6575	Software & Services	0.014689081
BRK/B	-1.207609482	-0.669456332	0.160681354	0.71646671	0.102796084	-0.278194505	510304.4799	Diversified Financials	0.005897709
BRO	-0.639102583	0.854391026	-0.502858147	-1.593315641	-0.467598438	-0.025271578	10241.2208	Insurance	0.002782415
BSX	-1.207609482	0.346540437	-0.925403625	-0.617149471	-0.351419942	0.33013743	56457.2113	Health Care Equipment & Servic	0.006582412
BWA	0.043765472	-1.063816106	2.2526611	-1.21491684	-0.42775562	-0.241841263	7258.9882	Automobiles & Components	0.050847458
BXP	0.702118325	0.060039635	-0.807403971	-1.143510144	-0.123381204	-0.341858482	19894.4161	Real Estate	0.008020129
BXS	0.441248109	-1.074652596	-0.152808551	-1.829460251	-1.05625083	-0.19321882	2922.6357	Banks	0.007565337
BYD	-0.470795045	-1.56099858	0.734254121	-1.891318758	-0.715889484	-1.236738812	2731.8212	Consumer Services	0.036240542
C	0.727797838	-0.773121942	1.433684155	1.084973598	-0.240715435	-0.558242523	154022.4705	Banks	0.021568056
CABO	-0.750811698	2.067395025	-0.649279217	-2.04440118	0.108994597	1.941423285	7272.3438	Media & Entertainment	0.000957884
CAG	0.697525767	-1.045724885	0.146668982	-0.927318359	-0.752773693	-1.005589507	14044.8392	Food, Beverage & Tobacco	0.002116402
CAH	1.494302191	-1.126938925	1.798158781	-0.187333473	-1.144205856	-0.212326861	13471.0619	Health Care Equipment & Servic	0.018892508
CAKE	1.142162976	-1.414069494	1.439462762	-2.29293639	-0.657729819	-0.239009802	1769.1935	Consumer Services	0.012963443
CAR	-1.207609482	-1.497681738	2.396021324	-1.378930813	-0.164868478	-0.590120762	2000.9706	Transportation	0.058779483
CARS	-1.207609482	-3.000016743	2.21981323	-2.543394572	-0.564008788	-0.277158071	618.1015	Media & Entertainment	0.03798768
CASY	-0.700746351	1.405903594	0.271310016	-1.511677757	-1.023826805	-0.231006607	6008.4484	Food & Staples Retailing	0.006169762
CAT	0.994101502	-1.295581193	1.175818019	0.093738662	-0.021754805	-0.754935937	68095.7962	Capital Goods	0.04654006
CATY	1.121981595	-1.357561112	0.228898607	-1.917158518	-1.010695665	-0.25195454	2748.1341	Banks	0.019151444
CB	-0.01018091	0.554504017	0.12831977	0.162080328	-0.554989065	-0.108806222	73858.7595	Insurance	-0.001866272
CBOE	-0.406563921	0.69193662	-0.733441867	-1.704057567	0.530740972	1.101051127	12986.4021	Diversified Financials	-0.012640929
CBRE	-1.207609482	0.971499597	0.289149513	-0.828686165	-0.85704325	-0.102348328	17042.1282	Real Estate	0.02634185
CBRL	0.876894254	0.14534626	0.663152881	-2.015025452	-0.075796634	-0.391948423	3880.7317	Consumer Services	0.001134716
CBS	-0.0146441	-1.366010964	1.382277137	-0.82414946	0.342380363	-0.692734856	14719.5732	Media & Entertainment	0.020446097
CBSH	-0.067426172	-0.708290851	-0.286504481	-1.491743707	-0.982726483	-0.964855091	6475.0893	Banks	0.014780836
CBT	0.864151523	-1.952733439	1.3558744	-1.939245435	-0.614328763	-0.630489544	2525.6948	Materials	0.042897328
CC	3.000075516	-3.000016743	2.739243093	-1.635118966	0.871322324	1.593114426	2169.4058	Materials	0.070707071
CCI	0.902897186	1.233800464	-1.092053041	-0.652742595	-0.147691974	0.298919107	57340.9658	Real Estate	-0.011141658
CCL	1.936934198	-1.511158874	1.868841663	-0.452512865	-0.457708492	-0.246192407	27897.7573	Consumer Services	0.014652015
CDK	-0.352164751	-1.521909316	0.615723906	-1.870546234	0.367387464	-0.044799055	5498.8	Software & Services	0.019745502
CDNS	-1.207609482	2.631766843	-1.074212832	-1.688774383	0.146016729	-0.532456004	18464.8853	Software & Services	0.005492829
CELG	-1.207609482	0.182426314	0.07767759	-0.35572499	1.157991997	0.697512574	70781.9916	Pharmaceuticals, Biotechnology	0.007614467
CERN	-0.510640335	-0.15434125	-0.258906491	-1.211255182	-0.308928269	0.177475408	21275.0836	Health Care Equipment & Servic	0.011071215
CF	0.383614744	-0.900169118	0.30792066	-1.263854807	-0.670342949	-0.904459255	10649.9342	Materials	0.029908444
CFG	1.551418085	-0.917607587	0.389298168	-0.536632295	-1.093135384	-0.331503204	15093.6401	Banks	0.021024578
CFR	0.968163253	-1.351371883	0.064317774	-1.483203633	-1.01334409	-0.456015485	5290.0361	Banks	0.029834906
CGNX	-0.944798749	-0.656857733	-1.070864064	-2.193194842	0.230252676	0.838129872	8401.6223	Technology Hardware & Equipmen	0.04440649
CHD	-0.433601796	0.981249886	-0.614000063	-1.318125667	-0.280128428	-0.222003104	18791.6762	Household & Personal Products	-0.019965622
CHDN	-0.933737801	1.355603428	-0.718195062	-2.200917317	-0.138732977	-0.217736728	5138.2685	Consumer Services	0.013748359
CHE	-1.006895305	1.47914074	-0.614764491	-2.132320959	0.297115416	-0.06266463	6574.8547	Health Care Equipment & Servic	0.00873014
CHK	-1.207609482	-3.000016743	2.652906975	-1.428260453	-0.540220752	-2.111392166	2222.938	Energy	0.07751938
CHRW	0.345580604	-1.032236011	0.641547367	-1.183527372	-0.095755221	-0.274424198	11275.6241	Transportation	0.010909522
CHTR	-1.207609482	1.287050193	-0.003366911	0.271768471	-0.662967192	2.215875222	105769.7801	Media & Entertainment	-0.008830487
CI	-1.190468246	-1.708353704	0.146671817	0.170846575	-1.070600357	0.231265309	56920.8237	Health Care Equipment & Servic	0.01040907
CIEN	-1.207609482	1.232921149	-0.293095001	-1.762765419	-0.969229869	0.866300157	5818.1246	Technology Hardware & Equipmen	0.014765101
CINF	0.026430184	1.969522249	-0.313363836	-0.962874575	-0.775385818	-0.861170713	19177.3085	Insurance	-0.000860363
CL	0.336136753	0.376909274	-0.288598694	-0.610291401	1.962989401	-0.845023703	61836.5244	Household & Personal Products	-0.003673873
CLB	2.051036618	-3.000016743	-0.121060563	-2.694942072	0.273508895	-1.085902815	1937.3275	Energy	0.035178236
CLGX	-1.207609482	-0.15001503	0.223464137	-1.937283185	-0.621204221	-0.50639032	3731.8544	Software & Services	-0.001282051
CLH	-1.207609482	-0.087664627	0.059653692	-1.809899838	-1.034088847	-0.77488801	4142.7329	Commercial & Professional Serv	0.018757483
CLI	1.18259042	-0.068730116	-0.786333423	-2.31233798	-0.530505218	-1.862058172	1960.4887	Real Estate	0.001853568
CLX	0.604122199	0.041122486	-0.18730883	-1.261553727	1.022100198	-0.553226673	18997.2484	Household & Personal Products	-0.00331675
CMA	1.504845668	-1.946429314	0.751836161	-0.973508563	-0.961716061	-0.649558194	9545.6702	Banks	0.023488882
CMC	0.552504437	-1.347528799	1.022910646	-1.902604256	-1.104183345	-0.988798183	2080.1813	Materials	0.0642978
CMCSA	0.007671849	1.229672839	0.525014447	0.705497696	-0.425945524	-0.014079625	203206.2916	Media & Entertainment	0.023595506
CMD	-1.02384249	-0.728931625	-0.517056457	-2.446953792	-0.5282068	0.654299351	2993.5846	Health Care Equipment & Servic	0.004212667
CME	-0.309279318	0.704005765	-1.229346209	-0.494272973	0.194377359	-0.081458688	77355.8141	Diversified Financials	-0.014173885
CMG	-1.207609482	3.000019086	-0.989412315	-1.449878289	-0.519244649	0.065920423	22841.6563	Consumer Services	0.003141045
CMI	0.941125378	-0.23934444	1.445308673	-0.61732144	-0.15227253	-0.830678914	24908.1489	Capital Goods	0.036357848
CMP	2.191206655	-1.443741012	0.354889962	-2.262284677	-0.787670512	0.441880383	1857.1738	Materials	0.043043952
CMS	0.316796263	0.866250615	-0.075487553	-0.909768758	-0.593003955	-0.454606318	18423.4519	Utilities	-0.006995181
CNC	-1.207609482	-2.064860599	1.042446685	-0.375326314	-1.090995597	1.434250151	18020.7861	Health Care Equipment & Servic	0.004082558
CNK	1.108592025	-0.44852364	0.965833891	-1.762755583	-0.390146877	-0.490927942	4449.4204	Media & Entertainment	0.023132664
CNO	0.688534703	-1.826836291	1.025545925	-1.419551759	-1.002062727	-0.777597004	2341.453	Insurance	0.027740189
CNP	1.335503187	-0.221210825	0.467345213	-0.891863515	-0.780485989	-0.521593596	14659.5387	Utilities	0.00390625
CNX	-1.207609482	-2.320714688	2.456228624	-2.015333292	-0.095758892	-1.198720969	1389.8447	Energy	0.023909986
COF	-0.02240617	-0.739412338	2.017733214	0.197283354	-0.450069983	-0.389666113	41069.481	Diversified Financials	0.02056762
COG	0.087491796	-1.608954982	0.547805729	-1.776046805	0.284673246	-1.230745389	7522.663	Energy	0.002855511
COHR	-1.207609482	-0.19362104	0.517167534	-2.075686915	-0.239393578	0.771387448	3656.1109	Technology Hardware & Equipmen	0.02265625
CONE	0.464857737	0.528399808	-1.303023232	-1.883859223	-0.383580765	0.822093567	8755.4275	Real Estate	-0.003404924
COO	-1.194543332	0.283934554	-0.690693652	-1.484621927	-0.28403051	0.032115891	14716.918	Health Care Equipment & Servic	0.010591108
COP	0.267442439	-1.844488993	2.035908886	-0.053039981	-0.085598776	-1.298385826	59392.5753	Energy	0.00984252
COR	1.381881552	0.204091633	-1.080522496	-2.283789168	0.083232311	0.550002824	5901.9402	Real Estate	0.009539222
COST	-0.631017094	1.48133964	-0.05971195	0.334542668	-0.710526676	-0.150116063	128225.4297	Food & Staples Retailing	0.001548092
COTY	1.923285893	-1.002848815	-0.062750126	-1.066098291	-1.163639258	0.06361377	7791.4724	Household & Personal Products	0.049652433
CPB	0.705287836	0.630986124	0.405451328	-1.006349794	-0.111153423	-0.644364062	14258.1755	Food, Beverage & Tobacco	-0.009509721
CPE	-1.207609482	-3.000016743	2.286499173	-2.523419234	0.421469137	2.708872181	897.2362	Energy	0.027431421
CPRT	-1.207609482	2.332341277	-0.940752848	-1.690216674	0.741317597	0.297888271	18577.6885	Commercial & Professional Serv	0.00388625
CPT	0.627731826	0.575578203	-1.076681895	-1.761804761	-0.152074152	-0.479318081	10920.1414	Real Estate	-0.007215769
CR	0.094607027	-1.316416016	0.840223192	-1.759354238	-0.395633598	-0.323199018	4645.4065	Capital Goods	0.04071618
CREE	-1.207609482	0.971493322	-0.914009627	-1.970866697	-1.199741468	0.37801454	5318.2112	Semiconductors & Semiconductor	-0.001049759
CRI	0.201141429	-0.419302989	0.589536129	-1.912632848	-0.143508651	-0.029480409	4108.4029	Consumer Durables & Apparel	0.019711903
CRL	-1.207609482	-0.172500219	-0.210052039	-1.80216996	-0.45805869	0.462936385	6431.8088	Pharmaceuticals, Biotechnology	0.017582754
CRM	-1.207609482	-0.474239845	-1.373658041	-0.285284104	-1.116530873	1.672580289	129822.3089	Software & Services	0.020217198
CRS	-0.186962041	-1.135268945	0.810305169	-2.037734967	-0.87933503	-0.41023407	2416.5775	Materials	0.030766137
CRUS	-1.207609482	2.090065292	0.050041514	-2.292629086	-0.658057745	-0.221339414	3173.3093	Semiconductors & Semiconductor	0.033904551
CSCO	0.698043238	-0.318729599	0.103701795	0.362820851	0.196576283	-0.573320461	201736.1937	Technology Hardware & Equipmen	0.008884074
CSL	-0.292849604	0.714543043	0.036686007	-1.518465838	-0.624465322	-0.140453694	8005.2515	Capital Goods	0.006071862
CSX	-0.27674331	-0.797853606	0.169608469	-0.460594562	0.288351736	-0.475867435	53246.3074	Transportation	0.031520765
CTAS	-0.703139656	1.342608262	-0.590411443	-1.08027275	-0.182227917	0.122987349	27554.8489	Commercial & Professional Serv	0.005787951
CTL	3.000075516	-2.526371778	2.016925084	-0.486226753	-0.587812022	-0.64869522	12587.4747	Telecommunication Services	0.008598452
CTLT	-1.207609482	0.501014795	-0.502028531	-1.710794285	-0.749196594	1.114311553	7181.182	Pharmaceuticals, Biotechnology	0.020138452
CTSH	-0.352423487	-1.028228215	0.584074348	-0.679240763	-0.067138268	0.135361594	33419.1314	Software & Services	0.013545151
CTXS	-0.26930466	-0.942610566	-0.111887255	-1.515786776	0.911955371	-0.464119418	12633.3632	Software & Services	0.01299505
CUZ	0.793840111	3.000019086	-1.09108306	-2.157787071	-0.134042185	0.669196777	5502.1461	Real Estate	0.022962756
CVLT	-1.207609482	-1.822135449	-0.772974596	-2.628056607	-1.242219082	-0.706946111	2064.2518	Software & Services	0.01359483
CVS	0.870943334	-1.3395775	0.858153595	0.520699133	-0.956363573	-0.28432833	80942.9182	Health Care Equipment & Servic	0.012874155
CVX	1.496760179	-0.618870815	1.399998763	0.83833216	-0.587237433	-1.194997779	216134.94	Energy	0.013613753
CW	-0.857798888	-0.506676461	0.079805585	-1.849826611	-0.491934775	-0.497185462	5373.3098	Capital Goods	0.015533365
CXO	-0.706956006	-2.996064459	0.961391295	-1.127828369	0.025540239	1.291626729	12989.691	Energy	0.024147063
CXW	3.000075516	-1.669124499	1.377213968	-2.115263827	-0.64542056	-0.984942808	1955.5489	Real Estate	0.029139073
CY	0.008642108	2.851119838	-0.464261789	-1.710073113	-0.724997233	1.375528114	8641.9799	Semiconductors & Semiconductor	0.000640068
D	1.697991828	-0.055204721	-0.487574419	-0.234369644	-0.264136848	-0.381617249	65636.7119	Utilities	0.001467351
DAL	0.727733154	0.120909957	2.143871378	-0.155587987	-0.481187677	-0.506528703	34987.2961	Transportation	-0.002824859
DAN	0.683748094	-1.331230262	2.928065435	-1.667640913	-0.638906525	-0.676342429	1968.8198	Automobiles & Components	0.069444444
DCI	-0.138255055	-0.917846499	-0.148031307	-1.887378874	-0.093955025	-0.493215218	6410.2534	Capital Goods	0.017380999
DDS	-0.638197008	-1.137889243	2.357210802	-1.860194994	-1.121926591	-1.434585221	1702.8534	Retailing	0.018667798
DE	-0.034954848	-0.370351114	0.08815792	-0.054517528	-0.551432254	-0.601004166	52801.0263	Capital Goods	0.018772348
DECK	-1.207609482	1.510396214	0.421616016	-2.09911839	0.00832905	-0.171053097	4227.6488	Consumer Durables & Apparel	0.072010019
DEI	0.356447501	0.289177281	-0.954303693	-1.804214909	-0.055207312	-0.02095017	7537.5223	Real Estate	0.004266414
DFS	0.253988185	-0.018471542	1.549577273	-0.383633246	-0.077976601	-0.338685905	24787.7939	Diversified Financials	0.01124183
DG	-0.693243017	2.278225108	-0.032849935	-0.450350922	-0.563431384	0.121632502	41380.2839	Retailing	0.010777473
